Anlisi de Dades;Conduct;Dur a terme
Anlisi de Dades;Controversy;Controvrsia
Anlisi de Dades;Eligible;Apte / Elegible
Anlisi de Dades;Scope;mbit / Abast
Anlisi de Dades;Assign;Assignar
Anlisi de Dades;Coincide;Coincidir
Anlisi de Dades;Comparable;Comparable
Anlisi de Dades;Component;Component
Anlisi de Dades;Criteria;Criteris
Anlisi de Dades;Curve;Corba
Anlisi de Dades;Draw a conclusion;Treure una conclusi
Anlisi de Dades;Encounter;Trobar / Topar
Anlisi de Dades;Error;Error
Anlisi de Dades;Essay;Assaig
Anlisi de Dades;Feedback;Retroacci
Anlisi de Dades;Fixed;Fix
Anlisi de Dades;Formulate;Formular
Anlisi de Dades;Fundamental;Fonamental
Anlisi de Dades;Grade;Nota / Qualificaci
Anlisi de Dades;Hypothesis;Hiptesi
Anlisi de Dades;Index;ndex
Anlisi de Dades;Learning;Aprenentatge
Anlisi de Dades;Lecture;Conferncia / Classe
Anlisi de Dades;Manual;Manual
Anlisi de Dades;Note;Nota
Anlisi de Dades;Objective;Objectiu
Anlisi de Dades;Overcome;Superar
Anlisi de Dades;Presentation;Presentaci
Anlisi de Dades;Quote;Citar
Anlisi de Dades;Research;Recerca / Investigaci
Anlisi de Dades;Review;Revisar
Anlisi de Dades;Task;Tasca
Anlisi de Dades;Textbook;Llibre de text
Anlisi de Dades;Thesis;Tesi
Anlisi de Dades;Analyse;Analitzar
Anlisi de Dades;Findings;Troballes / Resultats
Anlisi de Dades;Assessment;Avaluaci
Anlisi de Dades;Awareness;Conscincia
Anlisi de Dades;Bar chart;Grfic de barres
Anlisi de Dades;Clarification;Aclariment
Anlisi de Dades;Come to light;Sortir a la llum
Anlisi de Dades;Come up with;Ocorrer-se alguna cosa
Anlisi de Dades;Comment on;Comentar sobre
Anlisi de Dades;Concerned with;Relacionat amb
Anlisi de Dades;Consistently;Consistentment / Constantment
Anlisi de Dades;Constantly;Constantment
Anlisi de Dades;Correspond to;Correspondre a
Anlisi de Dades;Decline to;Negar-se a / Disminuir
Anlisi de Dades;Demonstrate;Demostrar
Anlisi de Dades;Determine;Determinar
Anlisi de Dades;Deviation;Desviaci
Anlisi de Dades;Display;Mostrar
Anlisi de Dades;Disproportionate;Desproporcionat
Anlisi de Dades;Examine;Examinar
Anlisi de Dades;Exceptionally;Excepcionalment
Anlisi de Dades;Exclude;Excloure
Anlisi de Dades;Fluctuate;Fluctuar
Anlisi de Dades;Gather;Recollir / Recopilar
Anlisi de Dades;Highlight;Destacar
Anlisi de Dades;Illustration;Illustraci
Anlisi de Dades;Indication;Indicaci
Anlisi de Dades;Interpretation;Interpretaci
Anlisi de Dades;Investigate;Investigar
Anlisi de Dades;Magnitude;Magnitud
Anlisi de Dades;Majority;Majoria
Anlisi de Dades;Minority;Minoria
Anlisi de Dades;Notable;Notable
Anlisi de Dades;Noticeable;Perceptible
Anlisi de Dades;Proportion;Proporci
Anlisi de Dades;Questionnaire;Qestionari
Anlisi de Dades;Rank;Classificar
Anlisi de Dades;Rate;Taxa / Ritme
Anlisi de Dades;Ratio;Proporci / Ra
Anlisi de Dades;Relevance;Rellevncia
Anlisi de Dades;Sample;Mostra
Anlisi de Dades;Statistics;Estadstiques
Anlisi de Dades;Survey;Enquesta
Anlisi de Dades;Tendency;Tendncia
Anlisi de Dades;Undergo;Experimentar / Patir
Universitat;Seminar;Seminari
Universitat;Whiteboard;Pissarra
Universitat;Educate;Educar
Universitat;High school;Institut
Universitat;Dean;Deg
Universitat;Recitation;Recitaci
Universitat;Pass exam;Aprovar un examen
Universitat;Rector;Rector
Universitat;Academic;Acadmic
Universitat;Learning disorder;Trastorn d'aprenentatge
Universitat;Primary school;Escola primria
Universitat;Secondary school;Escola secundria
Universitat;Take a course;Fer un curs
Universitat;Find out;Esbrinar
Universitat;Library;Biblioteca
Universitat;Nursery school;Escola bressol / Llar d'infants
Universitat;Topic;Tema
Universitat;University;Universitat
Universitat;Work-related;Relacionat amb la feina
Universitat;Concentrate;Concentrar-se
Universitat;Mixed;Mixt / Coeducatiu
Universitat;Argue;Discutir / Argumentar
Universitat;Assignment;Tasca / Treball
Universitat;Attendance;Assistncia
Universitat;Be brainy;Ser intelligent
Universitat;Brainstorm;Pluja d'idees
Universitat;Break;Esbarjo / Descans
Universitat;Break up;Acabar les classes
Universitat;Certificate;Certificat
Universitat;Cheat;Copiar / Fer trampa
Universitat;Chemistry;Qumica
Universitat;Coach;Entrenador
Universitat;College;Universitat / Facultat
Universitat;Compulsory;Obligatori
Universitat;Curriculum;Pla d'estudis
Universitat;Degree;Ttol / Grau
Universitat;Dropout;Abandonament escolar
Universitat;Enroll;Matricular-se
Universitat;Bachelor;Batxiller
Universitat;Computer science;Informtica
Universitat;Higher education;Educaci superior
Universitat;Humanities;Humanitats
Universitat;Postgraduate;Postgraduat
Universitat;Private lesson;Classe particular
Universitat;Report card;Butllet de qualificacions
Universitat;Scholarship;Beca
Universitat;School year;Any escolar
Universitat;Student loan;Prstec estudiantil
Universitat;Teach-yourself book;Llibre autodidacta
Universitat;PhD;Doctorat
Universitat;Liberal arts;Lletres / Arts liberals
Universitat;Dormitory;Residncia / Dormitori
Universitat;Form master;Tutor
Universitat;Institute;Institut
Universitat;Master's degree;Ttol de Mster
Universitat;Field of study;Camp d'estudi
Universitat;Bookshelf;Prestatgeria
Universitat;Deadline;Termini / Data lmit
Universitat;Tutorials;Tutories
Universitat;Distance learning;Educaci a distncia
Universitat;Elementary school;Escola primria
Universitat;Law school;Facultat de Dret
Universitat;Skip classes;Fer campana / Faltar a classe
Connectors;Under no circumstances;Sota cap circumstncia
Connectors;Otherwise;D'una altra manera / Si no
Connectors;As can be expected;Com es pot esperar
Connectors;For the most part;En la seva major part
Connectors;In most cases;En la majoria de casos
Connectors;To put it more simply;Dit de manera senzilla
Connectors;Conversely;Per contra / Al contrari
Connectors;However much;Per molt que
Connectors;Nevertheles;No obstant aix
Connectors;That said;Dit aix
Connectors;Apart from;A part de
Connectors;As noted;Com s'ha assenyalat
Connectors;Elsewhere;En un altre lloc
Connectors;Fewer than;Menys de
Connectors;Perhaps;Potser
Connectors;Possibly;Possiblement
Connectors;Slightly;Lleugerament
Connectors;Just think about it;Noms pensa-hi
Connectors;If you ask me;Si em preguntes
Connectors;What is more;A ms a ms
Connectors;Above all;Sobretot
Connectors;As well as;Aix com
Connectors;In conclusion;En conclusi
